‰‡Ú‡;»ÕÕ ÔÎ‡Ú.; ¡ ;—‡Î¸‰Ó
01.01.2015;266003377;18210901020040000110;-974,34
01.01.2015;266003377;18210301000010000110;-11414,79
01.01.2015;266003377;18210905050010000110;-2347,1
01.01.2015;266003377;18210904030010000110;-621,93
01.01.2015;266003377;18210101011010000110;-2545,64
01.01.2015;266003377;18210101012020000110;-3191,75
01.01.2015;266009629;18210904030010000110;-39,88
01.01.2015;266003112;18210908020060000140;-88
01.01.2015;266004765;18210908020060000140;-4355,04
01.01.2015;266004765;18210905050010000110;-515,13
01.01.2015;266004765;18210908040080000140;-10,56
01.01.2015;266004765;18210904010020000110;-6122,7
01.01.2015;266004765;18210907052040000110;-409,06
01.01.2015;266004765;18210907032040000110;-551,6
01.01.2015;266004765;18210904030010000110;-59,58
01.01.2015;266004765;18210301000010000110;-4800,99
01.01.2015;266004765;18210908060010000140;-458,73
01.01.2015;266004765;18210703000010000110;-33,43
01.01.2015;266004765;18210901020040000110;-2967,27
01.01.2015;266004765;18210101011010000110;-7557,57
01.01.2015;266004765;18210101012020000110;-9604,27
01.01.2015;266002101;18210908020060000140;-42
01.01.2015;266000344;18210102010010000110;-7,67
01.01.2015;266000344;18210904030010000110;-3,85
01.01.2015;266000344;18210301000010000110;-1112,09
01.01.2015;266005504;18210101011010000110;-2605,08
01.01.2015;266005504;18210301000010000110;-22217,83
01.01.2015;266005504;18210101012020000110;-3412,59
01.01.2015;266005504;18210901020040000110;-1004,12
01.01.2015;266005504;18210904030010000110;-1384,16
01.01.2015;266005504;18210904010020000110;-43,25
01.01.2015;266003634;18210908030070000140;-684,18
01.01.2015;266004243;18210908030070000140;-2537,29
01.01.2015;266004243;18210907052040000110;-826,94
01.01.2015;266004243;18210905050010000110;-1003,71
01.01.2015;266004243;18210904010020000110;-6523,28
01.01.2015;266004243;18210901020040000110;-2354
01.01.2015;266004243;18210301000010000110;-67733,56
01.01.2015;266004243;18210101012020000110;-8012,28
01.01.2015;266004243;18210101011010000110;-6015,98
01.01.2015;266004243;18210908040080000140;-521,72
01.01.2015;266004243;18210908020060000140;-6511,58
01.01.2015;266004243;18210904030010000110;-22,18
01.01.2015;266004243;18210908060010000140;-738,93
01.01.2015;266005590;18210101011010000110;-4585,4
01.01.2015;266005590;18210301000010000110;-643,04
01.01.2015;266005590;18210101012020000110;-5992,44
01.01.2015;266005590;18210905050010000110;-5,12
01.01.2015;266005590;18210901020040000110;-1768,97
01.01.2015;266005590;18210904030010000110;-2,71
01.01.2015;266004652;18210901020040000110;-351,4
01.01.2015;266004652;18210905050010000110;-486,63
01.01.2015;266004652;18210301000010000110;-5897,76
01.01.2015;266004652;18210101012020000110;-1080,02
01.01.2015;266004652;18210908020060000140;-3063,88
01.01.2015;266004652;18210908060010000140;-258,01
01.01.2015;266004652;18210904010020000110;-168316,07
01.01.2015;266004652;18210904030010000110;-6361,19
01.01.2015;266004652;18210908040080000140;-806,49
01.01.2015;266004652;18210907052040000110;-1185,92
01.01.2015;266004652;18210101011010000110;-890,65
01.01.2015;266004652;18210102010010000110;-183,78
01.01.2015;266004652;18210908030070000140;-4127,88
01.01.2015;266004652;18210907032040000110;-170,47
01.01.2015;266011522;18210904010020000110;-783,45
01.01.2015;266011522;18210908030070000140;-243,53
01.01.2015;266034304;18210301000010000110;-1000
01.01.2015;266035805;18210301000010000110;-110,97
01.01.2015;266014227;18210908020060000140;-687,8
01.01.2015;266033389;18210501050010000110;-600,54
01.01.2015;263007648;18210602010020000110;-35,5
01.01.2015;266006579;18210604011020000110;-0,22
01.01.2015;266006579;18210301000010000110;-107,37
01.01.2015;266003507;18210908020060000140;-45994,49
01.01.2015;266003507;18210904010020000110;-353,73
01.01.2015;266003507;18210101011010000110;-10,98
01.01.2015;266003507;18210901020040000110;-4,23
01.01.2015;266003507;18210907052040000110;-5575,02
01.01.2015;266003507;18210905050010000110;-4245,55
01.01.2015;266003507;18210908060010000140;-2273,27
01.01.2015;266003507;18210908040080000140;-9913,71
01.01.2015;266003507;18210101012020000110;-14,38
01.01.2015;266003507;18210301000010000110;-28467,36
01.01.2015;266003507;18210904030010000110;-3528,79
01.01.2015;266003507;18210908030070000140;-11756,36
01.01.2015;266003507;18210102010010000110;-89831,97
01.01.2015;266008819;18210101011010000110;-1292,11
01.01.2015;266008819;18210901020040000110;-498,04
01.01.2015;266008819;18210101012020000110;-1692,62
01.01.2015;266002711;18210905050010000110;-856,5
01.01.2015;266002711;18210101012020000110;-1175,66
01.01.2015;266002711;18210101011010000110;-970,8
01.01.2015;266002711;18210904010020000110;-5,56
01.01.2015;266002711;18210301000010000110;-5146,79
01.01.2015;266002711;18210904030010000110;-260,29
01.01.2015;266002711;18210901020040000110;-371,38
01.01.2015;266002711;18210908020060000140;-16
01.01.2015;266005790;18210908030070000140;-426,18
01.01.2015;266005790;18210101011010000110;-11484,55
01.01.2015;266005790;18210101012020000110;-15281,76
01.01.2015;266005790;18210901020040000110;-4492,4
01.01.2015;266005790;18210907032040000110;-13,2
01.01.2015;266005790;18210904010020000110;-62,28
01.01.2015;266008079;18210908030070000140;-987,22
01.01.2015;277004301;18210901020040000110;-0,28
01.01.2015;277004301;18210907032040000110;-171,98
01.01.2015;277004301;18210606032040000110;-15,3
01.01.2015;242007245;18210502010020000110;-79412
01.01.2015;266018670;18210606032040000110;-9,1
01.01.2015;266021150;18210606032040000110;-8,47
01.01.2015;266021150;18210101011010000110;-0,51
01.01.2015;266021150;18210101012020000110;-4,56
01.01.2015;266018711;18210301000010000110;-0,01
01.01.2015;266018711;18210606032040000110;-9,16
01.01.2015;266021094;18210606032040000110;-9,54
01.01.2015;266021094;18210602010020000110;-68,86
01.01.2015;266021087;18210606032040000110;-8,43
01.01.2015;266018768;18210606032040000110;-17,52
01.01.2015;266018831;18210602010020000110;-5,88
01.01.2015;266018831;18210606032040000110;-19,86
01.01.2015;266019056;18210606032040000110;-7,6
01.01.2015;266019056;18211603010010000140;-600
01.01.2015;266019056;18210301000010000110;-2000
01.01.2015;266019056;18210602010020000110;-2,8
01.01.2015;266018817;18210602010020000110;-9,83
01.01.2015;266018817;18210606032040000110;-9,1
01.01.2015;266028692;18210101011010000110;-73
01.01.2015;266028692;18210606032040000110;-1009,53
01.01.2015;266028692;18210602020020000110;-40477,03
01.01.2015;266028692;18210101012020000110;-827
01.01.2015;266018704;18210606032040000110;-7,59
01.01.2015;266018704;18210602010020000110;-6,49
01.01.2015;266018630;18210602010020000110;-7,82
01.01.2015;266018630;18210606032040000110;-7,77
01.01.2015;266007942;18210101011010000110;-100
01.01.2015;266007942;18210101012020000110;-66,85
01.01.2015;266007942;18210604011020000110;-177,64
01.01.2015;266007942;18211603010010000140;-200
01.01.2015;266007942;18210606012040000110;-2665,42
01.01.2015;266007942;18210602010020000110;-919
01.01.2015;266010494;18210909020070000110;-0,38
01.01.2015;266017500;18210602010020000110;-1,38
01.01.2015;266017500;18210604011020000110;-340
01.01.2015;266017500;18210606032040000110;-9,66
01.01.2015;266018694;18210602010020000110;-2,95
01.01.2015;266018694;18210606032040000110;-372,6
01.01.2015;266021104;18210602010020000110;-1,68
01.01.2015;266021104;18210909030080000110;-13,27
01.01.2015;266021104;18210909020070000110;-306,19
01.01.2015;266021104;18210909010010000110;-171,38
01.01.2015;266019017;18210909020070000110;-3,98
01.01.2015;266019017;18210602010020000110;-3,75
01.01.2015;266019017;18210909030080000110;-169,25
01.01.2015;266019200;18210602010020000110;-9
01.01.2015;266018990;18210602010020000110;-9,99
01.01.2015;266018849;18210909030080000110;-2,31
01.01.2015;266018849;18210602010020000110;-2,67
01.01.2015;266018983;18210602010020000110;-38,54
01.01.2015;266018983;18210909010010000110;-370,19
01.01.2015;266018983;18210909020070000110;-2913,82
01.01.2015;266019360;18210602010020000110;-0,82
01.01.2015;266018951;18210909010010000110;-92,24
01.01.2015;266018951;18210602010020000110;-2,96
01.01.2015;266019000;18210301000010000110;-100
01.01.2015;266019000;18210909010010000110;-3578,29
01.01.2015;266019000;18210602010020000110;-1,14
01.01.2015;266018824;18210602010020000110;-3,4
01.01.2015;266021143;18210602010020000110;-45,5
01.01.2015;266021143;18211603010010000140;-50
01.01.2015;266021337;18210909030080000110;-0,07
01.01.2015;266021337;18210602010020000110;-0,35
01.01.2015;266018535;18210602010020000110;-6,66
01.01.2015;266018535;18210909010010000110;-636,53
01.01.2015;266018535;18210909030080000110;-146,73
01.01.2015;266018800;18210909010010000110;-0,67
01.01.2015;266018800;18210602010020000110;-5,91
01.01.2015;266018503;18210602010020000110;-8,01
01.01.2015;266021111;18210909010010000110;-205,53
01.01.2015;266021111;18210602010020000110;-15,06
01.01.2015;266018542;18210602010020000110;-1,2
01.01.2015;266018542;18210909030080000110;-175,37
01.01.2015;266020862;18210602010020000110;-4,69
01.01.2015;266019070;18210909030080000110;-1350,53
01.01.2015;266019070;18210602010020000110;-2,72
01.01.2015;266019070;18210909020070000110;-335,58
01.01.2015;266019070;18210909010010000110;-12,07
01.01.2015;266018750;18210602010020000110;-1,08
01.01.2015;266028685;18210602010020000110;-4,86
01.01.2015;266022732;18210602010020000110;-3,49
01.01.2015;266018895;18210602010020000110;-3,69
01.01.2015;266019105;18210602010020000110;-2
01.01.2015;266019049;18210909010010000110;-2402,56
01.01.2015;266019049;18210909030080000110;-1218,24
01.01.2015;266018648;18210602010020000110;-0,79
01.01.2015;266018782;18210602010020000110;-3,95
01.01.2015;266018976;18210602010020000110;-1,12
01.01.2015;266018510;18210602010020000110;-0,04
01.01.2015;266015781;18210901020040000110;-1,86
01.01.2015;266015781;18210604011020000110;-10,5
01.01.2015;266015781;18210904030010000110;-355,86
01.01.2015;266018246;18210909030080000110;-733,73
01.01.2015;266018246;18210604011020000110;-9,66
01.01.2015;266018246;18210909020070000110;-12607,6
01.01.2015;266019426;18210909030080000110;-1248,39
01.01.2015;266019426;18210602010020000110;-11,47
01.01.2015;266033830;18210602010020000110;-251,37
01.01.2015;266017940;18210604011020000110;-376,51
01.01.2015;266017940;18210602010020000110;-14,31
01.01.2015;266018888;18210909030080000110;-557,2
01.01.2015;266018888;18210909010010000110;-756,75
01.01.2015;266018888;18210901020040000110;-1,66
01.01.2015;266018888;18210602010020000110;-13,58
01.01.2015;266018944;18210604011020000110;-3252,92
01.01.2015;266018944;18210602010020000110;-19,42
01.01.2015;266019225;18210909030080000110;-916,71
01.01.2015;266019225;18210909010010000110;-0,06
01.01.2015;266018863;18210909030080000110;-50,4
01.01.2015;266019433;18210604011020000110;-7,14
01.01.2015;266015439;18210909030080000110;-797,12
